unit,sex,age,region,year,value
YR,F,Y65,AT,2021,21.2
YR,F,Y_LT1,AT,2021,83.8
YR,M,Y65,AT,2021,18.0
YR,M,Y_LT1,AT,2021,78.8
YR,T,Y65,AT,2021,19.7
YR,T,Y_LT1,AT,2021,81.3
YR,F,Y1,AT,2020,82.9
YR,F,Y10,AT,2020,73.9
YR,F,Y11,AT,2020,72.9
YR,F,Y12,AT,2020,72.0
YR,F,Y13,AT,2020,71.0
YR,F,Y14,AT,2020,70.0
YR,F,Y15,AT,2020,69.0
YR,F,Y16,AT,2020,68.0
YR,F,Y17,AT,2020,67.0
YR,F,Y18,AT,2020,66.0
YR,F,Y19,AT,2020,65.0
YR,F,Y2,AT,2020,81.9
YR,F,Y20,AT,2020,64.0
YR,F,Y21,AT,2020,63.0
YR,F,Y22,AT,2020,62.0
YR,F,Y23,AT,2020,61.1
YR,F,Y24,AT,2020,60.1
YR,F,Y25,AT,2020,59.1
YR,F,Y26,AT,2020,58.1
YR,F,Y27,AT,2020,57.1
YR,F,Y28,AT,2020,56.1
YR,F,Y29,AT,2020,55.1
YR,F,Y3,AT,2020,80.9
YR,F,Y30,AT,2020,54.1
YR,F,Y31,AT,2020,53.2
YR,F,Y32,AT,2020,52.2
YR,F,Y33,AT,2020,51.2
YR,F,Y34,AT,2020,50.2
YR,F,Y35,AT,2020,49.2
YR,F,Y36,AT,2020,48.2
YR,F,Y37,AT,2020,47.3
YR,F,Y38,AT,2020,46.3
YR,F,Y39,AT,2020,45.3
YR,F,Y4,AT,2020,79.9
YR,F,Y40,AT,2020,44.3
YR,F,Y41,AT,2020,43.4
YR,F,Y42,AT,2020,42.4
YR,F,Y43,AT,2020,41.4
YR,F,Y44,AT,2020,40.5
YR,F,Y45,AT,2020,39.5
YR,F,Y46,AT,2020,38.5
YR,F,Y47,AT,2020,37.6
YR,F,Y48,AT,2020,36.6
YR,F,Y49,AT,2020,35.7
YR,F,Y5,AT,2020,78.9
YR,F,Y50,AT,2020,34.7
YR,F,Y51,AT,2020,33.8
YR,F,Y52,AT,2020,32.8
YR,F,Y53,AT,2020,31.9
YR,F,Y54,AT,2020,30.9
YR,F,Y55,AT,2020,30.0
YR,F,Y56,AT,2020,29.1
YR,F,Y57,AT,2020,28.2
YR,F,Y58,AT,2020,27.2
YR,F,Y59,AT,2020,26.3
YR,F,Y6,AT,2020,77.9
YR,F,Y60,AT,2020,25.4
YR,F,Y61,AT,2020,24.6
YR,F,Y62,AT,2020,23.7
YR,F,Y63,AT,2020,22.8
YR,F,Y64,AT,2020,21.9
YR,F,Y65,AT,2020,21.0
YR,F,Y66,AT,2020,20.2
YR,F,Y67,AT,2020,19.3
YR,F,Y68,AT,2020,18.5
YR,F,Y69,AT,2020,17.7
YR,F,Y7,AT,2020,76.9
YR,F,Y70,AT,2020,16.9
YR,F,Y71,AT,2020,16.1
YR,F,Y72,AT,2020,15.3
YR,F,Y73,AT,2020,14.5
YR,F,Y74,AT,2020,13.8
YR,F,Y75,AT,2020,13.0
YR,F,Y76,AT,2020,12.2
YR,F,Y77,AT,2020,11.5
YR,F,Y78,AT,2020,10.8
YR,F,Y79,AT,2020,10.1
YR,F,Y8,AT,2020,75.9
YR,F,Y80,AT,2020,9.4
YR,F,Y81,AT,2020,8.7
YR,F,Y82,AT,2020,8.1
YR,F,Y83,AT,2020,7.4
YR,F,Y84,AT,2020,6.8
YR,F,Y9,AT,2020,74.9
YR,F,Y_GE85,AT,2020,6.2
YR,F,Y_LT1,AT,2020,83.6
YR,M,Y1,AT,2020,78.2
YR,M,Y10,AT,2020,69.3
YR,M,Y11,AT,2020,68.3
YR,M,Y12,AT,2020,67.3
YR,M,Y13,AT,2020,66.3
YR,M,Y14,AT,2020,65.3
YR,M,Y15,AT,2020,64.3
YR,M,Y16,AT,2020,63.3
YR,M,Y17,AT,2020,62.4
YR,M,Y18,AT,2020,61.4
YR,M,Y19,AT,2020,60.4
YR,M,Y2,AT,2020,77.2
YR,M,Y20,AT,2020,59.4
YR,M,Y21,AT,2020,58.5
YR,M,Y22,AT,2020,57.5
YR,M,Y23,AT,2020,56.5
YR,M,Y24,AT,2020,55.5
YR,M,Y25,AT,2020,54.6
YR,M,Y26,AT,2020,53.6
YR,M,Y27,AT,2020,52.6
YR,M,Y28,AT,2020,51.6
YR,M,Y29,AT,2020,50.7
YR,M,Y3,AT,2020,76.2
YR,M,Y30,AT,2020,49.7
YR,M,Y31,AT,2020,48.7
YR,M,Y32,AT,2020,47.7
YR,M,Y33,AT,2020,46.8
YR,M,Y34,AT,2020,45.8
YR,M,Y35,AT,2020,44.8
YR,M,Y36,AT,2020,43.9
YR,M,Y37,AT,2020,42.9
YR,M,Y38,AT,2020,41.9
YR,M,Y39,AT,2020,41.0
YR,M,Y4,AT,2020,75.2
YR,M,Y40,AT,2020,40.0
YR,M,Y41,AT,2020,39.1
YR,M,Y42,AT,2020,38.1
YR,M,Y43,AT,2020,37.2
YR,M,Y44,AT,2020,36.2
YR,M,Y45,AT,2020,35.3
YR,M,Y46,AT,2020,34.3
YR,M,Y47,AT,2020,33.4
YR,M,Y48,AT,2020,32.5
YR,M,Y49,AT,2020,31.5
YR,M,Y5,AT,2020,74.3
YR,M,Y50,AT,2020,30.6
YR,M,Y51,AT,2020,29.7
YR,M,Y52,AT,2020,28.8
YR,M,Y53,AT,2020,27.9
YR,M,Y54,AT,2020,27.0
YR,M,Y55,AT,2020,26.1
YR,M,Y56,AT,2020,25.2
YR,M,Y57,AT,2020,24.4
YR,M,Y58,AT,2020,23.5
YR,M,Y59,AT,2020,22.7
YR,M,Y6,AT,2020,73.3
YR,M,Y60,AT,2020,21.8
YR,M,Y61,AT,2020,21.0
YR,M,Y62,AT,2020,20.2
YR,M,Y63,AT,2020,19.4
YR,M,Y64,AT,2020,18.6
YR,M,Y65,AT,2020,17.9
YR,M,Y66,AT,2020,17.1
YR,M,Y67,AT,2020,16.4
YR,M,Y68,AT,2020,15.7
YR,M,Y69,AT,2020,14.9
YR,M,Y7,AT,2020,72.3
YR,M,Y70,AT,2020,14.2
YR,M,Y71,AT,2020,13.5
YR,M,Y72,AT,2020,12.9
YR,M,Y73,AT,2020,12.2
YR,M,Y74,AT,2020,11.6
YR,M,Y75,AT,2020,11.0
YR,M,Y76,AT,2020,10.3
YR,M,Y77,AT,2020,9.8
YR,M,Y78,AT,2020,9.2
YR,M,Y79,AT,2020,8.6
YR,M,Y8,AT,2020,71.3
YR,M,Y80,AT,2020,8.0
YR,M,Y81,AT,2020,7.5
YR,M,Y82,AT,2020,6.9
YR,M,Y83,AT,2020,6.4
YR,M,Y84,AT,2020,5.9
YR,M,Y9,AT,2020,70.3
YR,M,Y_GE85,AT,2020,5.5
YR,M,Y_LT1,AT,2020,78.9
YR,T,Y1,AT,2020,80.6
YR,T,Y10,AT,2020,71.6
YR,T,Y11,AT,2020,70.6
YR,T,Y12,AT,2020,69.6
YR,T,Y13,AT,2020,68.7
YR,T,Y14,AT,2020,67.7
YR,T,Y15,AT,2020,66.7
YR,T,Y16,AT,2020,65.7
YR,T,Y17,AT,2020,64.7
YR,T,Y18,AT,2020,63.7
YR,T,Y19,AT,2020,62.7
YR,T,Y2,AT,2020,79.6
YR,T,Y20,AT,2020,61.8
YR,T,Y21,AT,2020,60.8
YR,T,Y22,AT,2020,59.8
YR,T,Y23,AT,2020,58.8
YR,T,Y24,AT,2020,57.8
YR,T,Y25,AT,2020,56.9
YR,T,Y26,AT,2020,55.9
YR,T,Y27,AT,2020,54.9
YR,T,Y28,AT,2020,53.9
YR,T,Y29,AT,2020,52.9
YR,T,Y3,AT,2020,78.6
YR,T,Y30,AT,2020,51.9
YR,T,Y31,AT,2020,51.0
YR,T,Y32,AT,2020,50.0
YR,T,Y33,AT,2020,49.0
YR,T,Y34,AT,2020,48.0
YR,T,Y35,AT,2020,47.1
YR,T,Y36,AT,2020,46.1
YR,T,Y37,AT,2020,45.1
YR,T,Y38,AT,2020,44.2
YR,T,Y39,AT,2020,43.2
YR,T,Y4,AT,2020,77.6
YR,T,Y40,AT,2020,42.2
YR,T,Y41,AT,2020,41.2
YR,T,Y42,AT,2020,40.3
YR,T,Y43,AT,2020,39.3
YR,T,Y44,AT,2020,38.4
YR,T,Y45,AT,2020,37.4
YR,T,Y46,AT,2020,36.5
YR,T,Y47,AT,2020,35.5
YR,T,Y48,AT,2020,34.6
YR,T,Y49,AT,2020,33.6
YR,T,Y5,AT,2020,76.6
YR,T,Y50,AT,2020,32.7
YR,T,Y51,AT,2020,31.8
YR,T,Y52,AT,2020,30.8
YR,T,Y53,AT,2020,29.9
YR,T,Y54,AT,2020,29.0
YR,T,Y55,AT,2020,28.1
YR,T,Y56,AT,2020,27.2
YR,T,Y57,AT,2020,26.3
YR,T,Y58,AT,2020,25.5
YR,T,Y59,AT,2020,24.6
YR,T,Y6,AT,2020,75.6
YR,T,Y60,AT,2020,23.7
YR,T,Y61,AT,2020,22.9
YR,T,Y62,AT,2020,22.0
YR,T,Y63,AT,2020,21.2
YR,T,Y64,AT,2020,20.4
YR,T,Y65,AT,2020,19.6
YR,T,Y66,AT,2020,18.7
YR,T,Y67,AT,2020,18.0
YR,T,Y68,AT,2020,17.2
YR,T,Y69,AT,2020,16.4
YR,T,Y7,AT,2020,74.6
YR,T,Y70,AT,2020,15.7
YR,T,Y71,AT,2020,14.9
YR,T,Y72,AT,2020,14.2
YR,T,Y73,AT,2020,13.5
YR,T,Y74,AT,2020,12.8
YR,T,Y75,AT,2020,12.1
YR,T,Y76,AT,2020,11.4
YR,T,Y77,AT,2020,10.8
YR,T,Y78,AT,2020,10.1
YR,T,Y79,AT,2020,9.5
YR,T,Y8,AT,2020,73.6
YR,T,Y80,AT,2020,8.8
